individual,species,lab,sex,age,condition,round,range,urban_habitat,adult_sociality,caching,source,live_hunting,flock_size,touch,latency
AL187,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,104
AL187,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,22
AL187,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,64
AL187,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,1,267
AL187,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,336
AL187,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,1,226
AL189,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,22
AL189,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,1,83
AL189,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,41
AL189,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,1,191
AL189,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,1,72
AL189,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,1,43
AL190,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,70
AL190,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,1,12
AL190,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,18
AL190,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,1,232
AL190,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,1,278
AL190,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL191,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,10
AL191,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,1,2
AL191,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,7
AL191,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,1,557
AL191,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,1,39
AL191,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,1,6
AL192,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,43
AL192,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,2
AL192,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,4
AL192,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL192,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,32
AL192,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,1,59
AL193,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,42
AL193,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,1,36
AL193,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,47
AL193,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL193,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL193,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL195,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,12
AL195,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,1,14
AL195,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,23
AL195,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL195,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL195,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL199,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,58
AL199,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,1,15
AL199,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,55
AL199,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL199,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,1,456
AL199,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL200,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,31
AL200,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,345
AL200,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,354
AL200,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL200,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,305
AL200,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,1,461
AL205,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,3
AL205,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,6
AL205,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,10
AL205,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL205,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,83
AL205,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,1,57
AL207,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,57
AL207,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,1,158
AL207,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,244
AL207,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL207,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL207,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL208,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,3
AL208,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,11
AL208,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,17
AL208,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,1,197
AL208,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,12
AL208,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,1,49
AL209,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,65
AL209,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,102
AL209,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,32
AL209,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,1,491
AL209,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,330
AL209,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,1,107
AL210,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,382
AL210,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,1,375
AL210,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,129
AL210,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL210,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL210,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,1,349
AL215,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,25
AL215,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,1,81
AL215,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,377
AL215,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,1,414
AL215,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,1,267
AL215,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,1,307
AL216,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,4
AL216,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,1,53
AL216,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,50
AL216,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL216,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL216,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL218,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,47
AL218,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,22
AL218,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,160
AL218,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,1,156
AL218,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,84
AL218,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,1,104
AL220,'alalā,4,m,Juvenile,Control,1,1,0,0,0,0,1,0,1,19
AL220,'alalā,4,m,Juvenile,Control,2,1,0,0,0,0,1,0,1,53
AL220,'alalā,4,m,Juvenile,Control,3,1,0,0,0,0,1,0,1,75
AL220,'alalā,4,m,Juvenile,Novel_object,1,1,0,0,0,0,1,0,0,600
AL220,'alalā,4,m,Juvenile,Novel_object,2,1,0,0,0,0,1,0,0,600
AL220,'alalā,4,m,Juvenile,Novel_object,3,1,0,0,0,0,1,0,0,600
AL224,'alalā,4,m,Juvenile,Control,1,1,0,0,0,0,1,0,1,12
AL224,'alalā,4,m,Juvenile,Control,2,1,0,0,0,0,1,0,1,18
AL224,'alalā,4,m,Juvenile,Control,3,1,0,0,0,0,1,0,1,22
AL224,'alalā,4,m,Juvenile,Novel_object,1,1,0,0,0,0,1,0,1,103
AL224,'alalā,4,m,Juvenile,Novel_object,2,1,0,0,0,0,1,0,1,40
AL224,'alalā,4,m,Juvenile,Novel_object,3,1,0,0,0,0,1,0,1,50
AL225,'alalā,4,f,Juvenile,Control,1,1,0,0,0,0,1,0,1,86
AL225,'alalā,4,f,Juvenile,Control,2,1,0,0,0,0,1,0,1,33
AL225,'alalā,4,f,Juvenile,Control,3,1,0,0,0,0,1,0,1,40
AL225,'alalā,4,f,Juvenile,Novel_object,1,1,0,0,0,0,1,0,0,600
AL225,'alalā,4,f,Juvenile,Novel_object,2,1,0,0,0,0,1,0,0,600
AL225,'alalā,4,f,Juvenile,Novel_object,3,1,0,0,0,0,1,0,0,600
AL226,'alalā,4,f,Juvenile,Control,1,1,0,0,0,0,1,0,1,273
AL226,'alalā,4,f,Juvenile,Control,2,1,0,0,0,0,1,0,1,56
AL226,'alalā,4,f,Juvenile,Control,3,1,0,0,0,0,1,0,1,22
AL226,'alalā,4,f,Juvenile,Novel_object,1,1,0,0,0,0,1,0,0,600
AL226,'alalā,4,f,Juvenile,Novel_object,2,1,0,0,0,0,1,0,0,600
AL226,'alalā,4,f,Juvenile,Novel_object,3,1,0,0,0,0,1,0,0,600
AL229,'alalā,4,m,Juvenile,Control,1,1,0,0,0,0,1,0,0,600
AL229,'alalā,4,m,Juvenile,Control,2,1,0,0,0,0,1,0,1,456
AL229,'alalā,4,m,Juvenile,Control,3,1,0,0,0,0,1,0,1,187
AL229,'alalā,4,m,Juvenile,Novel_object,1,1,0,0,0,0,1,0,0,600
AL229,'alalā,4,m,Juvenile,Novel_object,2,1,0,0,0,0,1,0,0,600
AL229,'alalā,4,m,Juvenile,Novel_object,3,1,0,0,0,0,1,0,0,600
AL234,'alalā,4,m,Juvenile,Control,1,1,0,0,0,0,1,0,1,386
AL234,'alalā,4,m,Juvenile,Control,2,1,0,0,0,0,1,0,1,108
AL234,'alalā,4,m,Juvenile,Control,3,1,0,0,0,0,1,0,1,188
AL234,'alalā,4,m,Juvenile,Novel_object,1,1,0,0,0,0,1,0,0,600
AL234,'alalā,4,m,Juvenile,Novel_object,2,1,0,0,0,0,1,0,0,600
AL234,'alalā,4,m,Juvenile,Novel_object,3,1,0,0,0,0,1,0,0,600
AL238,'alalā,4,f,Juvenile,Control,1,1,0,0,0,0,1,0,1,510
AL238,'alalā,4,f,Juvenile,Control,2,1,0,0,0,0,1,0,1,271
AL238,'alalā,4,f,Juvenile,Control,3,1,0,0,0,0,1,0,1,187
AL238,'alalā,4,f,Juvenile,Novel_object,1,1,0,0,0,0,1,0,0,600
AL238,'alalā,4,f,Juvenile,Novel_object,2,1,0,0,0,0,1,0,0,600
AL238,'alalā,4,f,Juvenile,Novel_object,3,1,0,0,0,0,1,0,0,600
AL292,'alalā,4,m,Juvenile,Control,1,1,0,0,0,0,1,0,0,600
AL292,'alalā,4,m,Juvenile,Control,2,1,0,0,0,0,1,0,0,600
AL292,'alalā,4,m,Juvenile,Control,3,1,0,0,0,0,1,0,0,600
AL292,'alalā,4,m,Juvenile,Novel_object,1,1,0,0,0,0,1,0,0,600
AL292,'alalā,4,m,Juvenile,Novel_object,2,1,0,0,0,0,1,0,0,600
AL292,'alalā,4,m,Juvenile,Novel_object,3,1,0,0,0,0,1,0,0,600
AL294,'alalā,4,m,Juvenile,Control,1,1,0,0,0,0,1,0,1,345
AL294,'alalā,4,m,Juvenile,Control,2,1,0,0,0,0,1,0,1,129
AL294,'alalā,4,m,Juvenile,Control,3,1,0,0,0,0,1,0,0,600
AL294,'alalā,4,m,Juvenile,Novel_object,1,1,0,0,0,0,1,0,0,600
AL294,'alalā,4,m,Juvenile,Novel_object,2,1,0,0,0,0,1,0,0,600
AL294,'alalā,4,m,Juvenile,Novel_object,3,1,0,0,0,0,1,0,0,600
AL302,'alalā,4,m,Juvenile,Control,1,1,0,0,0,0,1,0,1,289
AL302,'alalā,4,m,Juvenile,Control,2,1,0,0,0,0,1,0,1,137
AL302,'alalā,4,m,Juvenile,Control,3,1,0,0,0,0,1,0,0,600
AL302,'alalā,4,m,Juvenile,Novel_object,1,1,0,0,0,0,1,0,0,600
AL302,'alalā,4,m,Juvenile,Novel_object,2,1,0,0,0,0,1,0,0,600
AL302,'alalā,4,m,Juvenile,Novel_object,3,1,0,0,0,0,1,0,0,600
AL303,'alalā,4,m,Juvenile,Control,1,1,0,0,0,0,1,0,1,434
AL303,'alalā,4,m,Juvenile,Control,2,1,0,0,0,0,1,0,1,238
AL303,'alalā,4,m,Juvenile,Control,3,1,0,0,0,0,1,0,1,49
AL303,'alalā,4,m,Juvenile,Novel_object,1,1,0,0,0,0,1,0,0,600
AL303,'alalā,4,m,Juvenile,Novel_object,2,1,0,0,0,0,1,0,0,600
AL303,'alalā,4,m,Juvenile,Novel_object,3,1,0,0,0,0,1,0,0,600
AL304,'alalā,4,m,Juvenile,Control,1,1,0,0,0,0,1,0,0,600
AL304,'alalā,4,m,Juvenile,Control,2,1,0,0,0,0,1,0,0,600
AL304,'alalā,4,m,Juvenile,Control,3,1,0,0,0,0,1,0,0,600
AL304,'alalā,4,m,Juvenile,Novel_object,1,1,0,0,0,0,1,0,0,600
AL304,'alalā,4,m,Juvenile,Novel_object,2,1,0,0,0,0,1,0,0,600
AL304,'alalā,4,m,Juvenile,Novel_object,3,1,0,0,0,0,1,0,0,600
Anakin,azure_winged_magpie,1,m,Adult,Control,1,0,1,1,0,0,0,1,1,1.2
Anakin,azure_winged_magpie,1,m,Adult,Novel_food,1,0,1,1,0,0,0,1,1,2.2
Anakin,azure_winged_magpie,1,m,Adult,Novel_object,1,0,1,1,0,0,0,1,1,4
BB8,azure_winged_magpie,1,f,Adult,Control,1,0,1,1,0,0,0,1,1,3.6
BB8,azure_winged_magpie,1,f,Adult,Control,2,0,1,1,0,0,0,1,1,243.6
BB8,azure_winged_magpie,1,f,Adult,Control,3,0,1,1,0,0,0,1,0,600
BB8,azure_winged_magpie,1,f,Adult,Novel_food,1,0,1,1,0,0,0,1,1,23.2
BB8,azure_winged_magpie,1,f,Adult,Novel_food,2,0,1,1,0,0,0,1,1,96.6
BB8,azure_winged_magpie,1,f,Adult,Novel_food,3,0,1,1,0,0,0,1,1,179.6
BB8,azure_winged_magpie,1,f,Adult,Novel_object,1,0,1,1,0,0,0,1,1,141.2
BB8,azure_winged_magpie,1,f,Adult,Novel_object,2,0,1,1,0,0,0,1,0,600
BB8,azure_winged_magpie,1,f,Adult,Novel_object,3,0,1,1,0,0,0,1,1,340.4
Chewie,azure_winged_magpie,1,f,Adult,Novel_food,1,0,1,1,0,0,0,1,1,1.8
Kylo,azure_winged_magpie,1,m,Adult,Control,1,0,1,1,0,0,0,1,1,8.6
Kylo,azure_winged_magpie,1,m,Adult,Control,2,0,1,1,0,0,0,1,1,339.8
Kylo,azure_winged_magpie,1,m,Adult,Control,3,0,1,1,0,0,0,1,0,600
Kylo,azure_winged_magpie,1,m,Adult,Novel_food,1,0,1,1,0,0,0,1,1,246.4
Kylo,azure_winged_magpie,1,m,Adult,Novel_food,2,0,1,1,0,0,0,1,1,352.8
Kylo,azure_winged_magpie,1,m,Adult,Novel_food,3,0,1,1,0,0,0,1,1,448.4
Kylo,azure_winged_magpie,1,m,Adult,Novel_object,1,0,1,1,0,0,0,1,1,33.4
Kylo,azure_winged_magpie,1,m,Adult,Novel_object,2,0,1,1,0,0,0,1,0,600
Kylo,azure_winged_magpie,1,m,Adult,Novel_object,3,0,1,1,0,0,0,1,1,252
Poe_1,azure_winged_magpie,1,f,Adult,Control,1,0,1,1,0,0,0,1,1,2.6
Poe_1,azure_winged_magpie,1,f,Adult,Control,2,0,1,1,0,0,0,1,0,600
Poe_1,azure_winged_magpie,1,f,Adult,Control,3,0,1,1,0,0,0,1,1,297.2
Poe_1,azure_winged_magpie,1,f,Adult,Novel_food,1,0,1,1,0,0,0,1,1,1.2
Poe_1,azure_winged_magpie,1,f,Adult,Novel_food,2,0,1,1,0,0,0,1,0,600
Poe_1,azure_winged_magpie,1,f,Adult,Novel_food,3,0,1,1,0,0,0,1,1,147.2
Poe_1,azure_winged_magpie,1,f,Adult,Novel_object,1,0,1,1,0,0,0,1,0,600
Poe_1,azure_winged_magpie,1,f,Adult,Novel_object,2,0,1,1,0,0,0,1,1,170.4
Poe_1,azure_winged_magpie,1,f,Adult,Novel_object,3,0,1,1,0,0,0,1,1,206.6
Rey,azure_winged_magpie,1,f,Adult,Control,1,0,1,1,0,0,0,1,1,11.2
Rey,azure_winged_magpie,1,f,Adult,Control,2,0,1,1,0,0,0,1,1,205
Rey,azure_winged_magpie,1,f,Adult,Control,3,0,1,1,0,0,0,1,0,600
Rey,azure_winged_magpie,1,f,Adult,Novel_food,1,0,1,1,0,0,0,1,1,118.2
Rey,azure_winged_magpie,1,f,Adult,Novel_food,2,0,1,1,0,0,0,1,1,20.6
Rey,azure_winged_magpie,1,f,Adult,Novel_food,3,0,1,1,0,0,0,1,1,377.8
Rey,azure_winged_magpie,1,f,Adult,Novel_object,1,0,1,1,0,0,0,1,1,24.2
Rey,azure_winged_magpie,1,f,Adult,Novel_object,2,0,1,1,0,0,0,1,0,600
Rey,azure_winged_magpie,1,f,Adult,Novel_object,3,0,1,1,0,0,0,1,0,600
Alina,azure_winged_magpie,7,f,Adult,Control,1,0,1,1,0,0,0,1,1,11
Alina,azure_winged_magpie,7,f,Adult,Control,2,0,1,1,0,0,0,1,1,6
Alina,azure_winged_magpie,7,f,Adult,Control,3,0,1,1,0,0,0,1,1,8
Alina,azure_winged_magpie,7,f,Adult,Novel_food,1,0,1,1,0,0,0,1,1,48
Alina,azure_winged_magpie,7,f,Adult,Novel_food,3,0,1,1,0,0,0,1,1,11
Alina,azure_winged_magpie,7,f,Adult,Novel_object,1,0,1,1,0,0,0,1,1,544
Alina,azure_winged_magpie,7,f,Adult,Novel_object,2,0,1,1,0,0,0,1,1,53
Alina,azure_winged_magpie,7,f,Adult,Novel_object,3,0,1,1,0,0,0,1,1,196
Alina ,azure_winged_magpie,7,f,Adult,Novel_food,2,0,1,1,0,0,0,1,1,36.4
Boyce,azure_winged_magpie,7,m,Adult,Control,1,0,1,1,0,0,0,1,1,40
Boyce,azure_winged_magpie,7,m,Adult,Control,2,0,1,1,0,0,0,1,1,15
Boyce,azure_winged_magpie,7,m,Adult,Control,3,0,1,1,0,0,0,1,1,9
Boyce,azure_winged_magpie,7,m,Adult,Novel_food,1,0,1,1,0,0,0,1,1,9
Boyce,azure_winged_magpie,7,m,Adult,Novel_food,2,0,1,1,0,0,0,1,1,101
Boyce,azure_winged_magpie,7,m,Adult,Novel_food,3,0,1,1,0,0,0,1,1,112.2
Boyce,azure_winged_magpie,7,m,Adult,Novel_object,1,0,1,1,0,0,0,1,1,267
Boyce,azure_winged_magpie,7,m,Adult,Novel_object,2,0,1,1,0,0,0,1,1,218
Boyce,azure_winged_magpie,7,m,Adult,Novel_object,3,0,1,1,0,0,0,1,1,169
George_3,azure_winged_magpie,7,m,Adult,Control,1,0,1,1,0,0,0,1,1,162
George_3,azure_winged_magpie,7,m,Adult,Control,2,0,1,1,0,0,0,1,0,600
George_3,azure_winged_magpie,7,m,Adult,Control,3,0,1,1,0,0,0,1,0,600
George_3,azure_winged_magpie,7,m,Adult,Novel_food,1,0,1,1,0,0,0,1,1,105
George_3,azure_winged_magpie,7,m,Adult,Novel_food,2,0,1,1,0,0,0,1,1,23
George_3,azure_winged_magpie,7,m,Adult,Novel_food,3,0,1,1,0,0,0,1,1,66.8
George_3,azure_winged_magpie,7,m,Adult,Novel_object,1,0,1,1,0,0,0,1,1,162
George_3,azure_winged_magpie,7,m,Adult,Novel_object,2,0,1,1,0,0,0,1,1,271
George_3,azure_winged_magpie,7,m,Adult,Novel_object,3,0,1,1,0,0,0,1,0,600
Jay,azure_winged_magpie,7,m,Adult,Control,1,0,1,1,0,0,0,1,1,27
Jay,azure_winged_magpie,7,m,Adult,Control,3,0,1,1,0,0,0,1,1,26.4
Jay,azure_winged_magpie,7,m,Adult,Novel_food,1,0,1,1,0,0,0,1,1,23
Jay,azure_winged_magpie,7,m,Adult,Novel_object,1,0,1,1,0,0,0,1,1,93
Jay ,azure_winged_magpie,7,m,Adult,Control,2,0,1,1,0,0,0,1,1,29
Jay ,azure_winged_magpie,7,m,Adult,Novel_food,2,0,1,1,0,0,0,1,0,600
Jay ,azure_winged_magpie,7,m,Adult,Novel_food,3,0,1,1,0,0,0,1,0,600
Jay ,azure_winged_magpie,7,m,Adult,Novel_object,2,0,1,1,0,0,0,1,1,28
Jay ,azure_winged_magpie,7,m,Adult,Novel_object,3,0,1,1,0,0,0,1,1,26
Joyce,azure_winged_magpie,7,m,Adult,Control,1,0,1,1,0,0,0,1,1,42
Joyce,azure_winged_magpie,7,m,Adult,Control,2,0,1,1,0,0,0,1,1,35
Joyce,azure_winged_magpie,7,m,Adult,Control,3,0,1,1,0,0,0,1,1,15
Joyce,azure_winged_magpie,7,m,Adult,Novel_food,1,0,1,1,0,0,0,1,1,21
Joyce,azure_winged_magpie,7,m,Adult,Novel_food,2,0,1,1,0,0,0,1,1,58
Joyce,azure_winged_magpie,7,m,Adult,Novel_food,3,0,1,1,0,0,0,1,1,10
Joyce,azure_winged_magpie,7,m,Adult,Novel_object,1,0,1,1,0,0,0,1,1,12
Joyce,azure_winged_magpie,7,m,Adult,Novel_object,2,0,1,1,0,0,0,1,1,35.6
Joyce,azure_winged_magpie,7,m,Adult,Novel_object,3,0,1,1,0,0,0,1,1,11
Payne,azure_winged_magpie,7,m,Adult,Control,1,0,1,1,0,0,0,1,1,23
Payne,azure_winged_magpie,7,m,Adult,Control,2,0,1,1,0,0,0,1,1,19
Payne,azure_winged_magpie,7,m,Adult,Novel_food,1,0,1,1,0,0,0,1,1,126
Payne,azure_winged_magpie,7,m,Adult,Novel_food,2,0,1,1,0,0,0,1,1,19
Payne,azure_winged_magpie,7,m,Adult,Novel_object,1,0,1,1,0,0,0,1,1,72
Payne ,azure_winged_magpie,7,m,Adult,Control,3,0,1,1,0,0,0,1,1,7
Payne ,azure_winged_magpie,7,m,Adult,Novel_food,3,0,1,1,0,0,0,1,1,13
Payne ,azure_winged_magpie,7,m,Adult,Novel_object,2,0,1,1,0,0,0,1,1,11
Payne ,azure_winged_magpie,7,m,Adult,Novel_object,3,0,1,1,0,0,0,1,1,6
Sin,azure_winged_magpie,7,f,Adult,Control,1,0,1,1,0,0,0,1,1,73
Sin,azure_winged_magpie,7,f,Adult,Control,2,0,1,1,0,0,0,1,1,16
Sin,azure_winged_magpie,7,f,Adult,Control,3,0,1,1,0,0,0,1,1,14
Sin,azure_winged_magpie,7,f,Adult,Novel_food,1,0,1,1,0,0,0,1,1,42
Sin,azure_winged_magpie,7,f,Adult,Novel_food,2,0,1,1,0,0,0,1,1,136
Sin,azure_winged_magpie,7,f,Adult,Novel_food,3,0,1,1,0,0,0,1,1,21
Sin,azure_winged_magpie,7,f,Adult,Novel_object,1,0,1,1,0,0,0,1,1,393
Sin,azure_winged_magpie,7,f,Adult,Novel_object,2,0,1,1,0,0,0,1,0,600
Sin,azure_winged_magpie,7,f,Adult,Novel_object,3,0,1,1,0,0,0,1,0,600
York,azure_winged_magpie,7,m,Adult,Control,1,0,1,1,0,0,0,1,1,85
York,azure_winged_magpie,7,m,Adult,Control,2,0,1,1,0,0,0,1,0,600
York,azure_winged_magpie,7,m,Adult,Control,3,0,1,1,0,0,0,1,0,600
York,azure_winged_magpie,7,m,Adult,Novel_food,1,0,1,1,0,0,0,1,0,600
York,azure_winged_magpie,7,m,Adult,Novel_food,2,0,1,1,0,0,0,1,0,600
York,azure_winged_magpie,7,m,Adult,Novel_food,3,0,1,1,0,0,0,1,0,600
York,azure_winged_magpie,7,m,Adult,Novel_object,1,0,1,1,0,0,0,1,0,600
York,azure_winged_magpie,7,m,Adult,Novel_object,2,0,1,1,0,0,0,1,0,600
York,azure_winged_magpie,7,m,Adult,Novel_object,3,0,1,1,0,0,0,1,0,600
Audubon,blue_jay,3,NA,Adult,Control,1,0,1,0,1,0,0,0,1,16.2
Audubon,blue_jay,3,NA,Adult,Control,2,0,1,0,1,0,0,0,1,16.2
Audubon,blue_jay,3,NA,Adult,Control,3,0,1,0,1,0,0,0,1,17
Audubon,blue_jay,3,NA,Adult,Novel_food,1,0,1,0,1,0,0,0,0,600
Audubon,blue_jay,3,NA,Adult,Novel_food,2,0,1,0,1,0,0,0,1,23.8
Audubon,blue_jay,3,NA,Adult,Novel_food,3,0,1,0,1,0,0,0,1,16.6
Audubon,blue_jay,3,NA,Adult,Novel_object,1,0,1,0,1,0,0,0,0,600
Audubon,blue_jay,3,NA,Adult,Novel_object,2,0,1,0,1,0,0,0,0,600
Audubon,blue_jay,3,NA,Adult,Novel_object,3,0,1,0,1,0,0,0,1,39.4
Carlos,blue_jay,3,NA,Adult,Control,1,0,1,0,1,0,0,0,0,600
Carlos,blue_jay,3,NA,Adult,Control,2,0,1,0,1,0,0,0,0,600
Carlos,blue_jay,3,NA,Adult,Control,3,0,1,0,1,0,0,0,0,600
Carlos,blue_jay,3,NA,Adult,Novel_food,1,0,1,0,1,0,0,0,0,600
Carlos,blue_jay,3,NA,Adult,Novel_food,2,0,1,0,1,0,0,0,0,600
Carlos,blue_jay,3,NA,Adult,Novel_food,3,0,1,0,1,0,0,0,0,600
Carlos,blue_jay,3,NA,Adult,Novel_object,1,0,1,0,1,0,0,0,0,600
Carlos,blue_jay,3,NA,Adult,Novel_object,2,0,1,0,1,0,0,0,0,600
Carlos,blue_jay,3,NA,Adult,Novel_object,3,0,1,0,1,0,0,0,0,600
Goliath,blue_jay,3,NA,Adult,Control,1,0,1,0,1,0,0,0,1,135.8
Goliath,blue_jay,3,NA,Adult,Control,2,0,1,0,1,0,0,0,1,27.6
Goliath,blue_jay,3,NA,Adult,Control,3,0,1,0,1,0,0,0,1,24.4
Goliath,blue_jay,3,NA,Adult,Novel_food,1,0,1,0,1,0,0,0,1,21.4
Goliath,blue_jay,3,NA,Adult,Novel_food,2,0,1,0,1,0,0,0,1,302.6
Goliath,blue_jay,3,NA,Adult,Novel_food,3,0,1,0,1,0,0,0,0,600
Goliath,blue_jay,3,NA,Adult,Novel_object,1,0,1,0,1,0,0,0,1,447.6
Goliath,blue_jay,3,NA,Adult,Novel_object,2,0,1,0,1,0,0,0,1,88.2
